Years,predicted_mean,% Change
2018,174.0,
2019,-0.15827609709760065,-100.09096327419402
2020,0.19867980347378267,-225.52735827903768
2021,-0.08375721378846557,-142.15688375165823
2024,0.05278019277096044,-163.0156978529161
2025,-0.057788249466611735,-209.48851535534124
2026,-0.10927990885107144,89.10403042094224
2027,-0.006296590082152026,-94.23810822286362
2028,-0.057788249466611735,817.7705506098482
2029,-0.06308851682509432,9.171877340816348
2030,-0.05248798210812915,-16.802637390182973
2031,-0.057788249466611735,10.09805891863711
2032,-0.05791584647477593,0.22080095753360673
2033,-0.057660652458447544,-0.4406290020116166
