Years,predicted_mean,% Change
2018,160.0,
2019,0.0,-100.0
2020,0.0,
2021,0.0,
2024,0.33372484324701246,inf
2025,0.34994625162497706,4.860713460866939
2026,0.34994625162497706,0.0
2027,0.34994625162497706,0.0
2028,0.34994625162497706,0.0
2029,0.34994625162497706,0.0
2030,0.34994625162497706,0.0
2031,0.34994625162497706,0.0
2032,0.34994625162497706,0.0
2033,0.34994625162497706,0.0
