Geography,Year,Numerator,Denominator
California,2014-2016,132179.0,35476966.0
California,2015,44158.0,11762887.0
California,2015-2017,126512.0,34744039.0
California,2016,42179.0,11688954.0
California,2016-2018,121536.0,33859787.0
California,2017,40115.0,11292198.0
California,2017-2019,116743.0,32866485.0
California,2018,39196.0,10878635.0
California,2018-2020,110173.0,31633398.0
California,2019,37390.0,10695652.0
California,2019-2021,105762.0,30822169.0
California,2020,33564.0,10059111.0
California,2021,34778.0,10067406.0
Colusa,2007,0.0,386.0
Colusa,2007-2009,0.0,24520.0
Colusa,2008,0.0,367.0
Colusa,2008-2010,0.0,23468.0
Colusa,2009,0.0,361.0
Colusa,2009-2011,0.0,22041.0
Colusa,2010,0.0,338.0
Colusa,2010-2012,0.0,21031.0
Colusa,2011,0.0,302.0
Colusa,2011-2013,0.0,20496.0
Colusa,2012,0.0,314.0
Colusa,2012-2014,0.0,20131.0
Colusa,2013,0.0,313.0
Colusa,2013-2015,0.0,21507.0
Colusa,2014,0.0,285.0
Colusa,2014-2016,0.0,21553.0
Colusa,2015,0.0,298.0
Colusa,2015-2017,0.0,21722.0
Colusa,2016,0.0,316.0
Colusa,2016-2018,0.0,20949.0
Colusa,2017,0.0,293.0
Colusa,2017-2019,0.0,19320.0
Colusa,2018,0.0,267.0
Colusa,2018-2020,0.0,19204.0
Colusa,2019,0.0,248.0
Colusa,2019-2021,0.0,19655.0
Colusa,2020,0.0,291.0
Colusa,2021,0.0,286.0
Contra Costa,2007,58.0,13489.0
Contra Costa,2007-2009,3063.0,864711.0
Contra Costa,2008,50.0,13137.0
Contra Costa,2008-2010,2988.0,840310.0
Contra Costa,2009,63.0,12682.0
Contra Costa,2009-2011,3326.0,816588.0
Contra Costa,2010,53.0,12355.0
Contra Costa,2010-2012,3130.0,802906.0
Contra Costa,2011,69.0,12058.0
Contra Costa,2011-2013,3119.0,798329.0
Contra Costa,2012,51.0,12061.0
Contra Costa,2012-2014,2818.0,809635.0
Contra Costa,2013,52.0,12154.0
Contra Costa,2013-2015,2886.0,894631.0
Contra Costa,2014,51.0,12560.0
Contra Costa,2014-2016,2516.0,899266.0
Contra Costa,2015,42.0,12599.0
Contra Costa,2015-2017,2334.0,890268.0
Contra Costa,2016,35.0,12345.0
Contra Costa,2016-2018,2433.0,875892.0
Contra Costa,2017,42.0,12187.0
Contra Costa,2017-2019,2838.0,863873.0
Contra Costa,2018,45.0,11983.0
Contra Costa,2018-2020,2805.0,855297.0
Contra Costa,2019,54.0,11812.0
Contra Costa,2019-2021,2848.0,854596.0
Contra Costa,2020,41.0,11815.0
Contra Costa,2021,47.0,11936.0
Del Norte,2007,0.0,355.0
Del Norte,2007-2009,0.0,21946.0
Del Norte,2008,0.0,313.0
Del Norte,2008-2010,0.0,22359.0
Del Norte,2009,0.0,333.0
Del Norte,2009-2011,0.0,22943.0
Del Norte,2010,0.0,372.0
Del Norte,2010-2012,0.0,22276.0
Del Norte,2011,0.0,337.0
Del Norte,2011-2013,0.0,21026.0
Del Norte,2012,0.0,302.0
Del Norte,2012-2014,0.0,20729.0
Del Norte,2013,0.0,315.0
Del Norte,2013-2015,0.0,22471.0
Del Norte,2014,0.0,324.0
Del Norte,2014-2016,0.0,22309.0
Del Norte,2015,0.0,301.0
Del Norte,2015-2017,0.0,20991.0
Del Norte,2016,0.0,310.0
Del Norte,2016-2018,0.0,20500.0
Del Norte,2017,0.0,269.0
Del Norte,2017-2019,0.0,19707.0
Del Norte,2018,0.0,283.0
Del Norte,2018-2020,0.0,19397.0
Del Norte,2019,0.0,280.0
Del Norte,2019-2021,0.0,18826.0
Del Norte,2020,0.0,260.0
Del Norte,2021,0.0,262.0
El Dorado,2007,0.0,1881.0
El Dorado,2007-2009,312.0,119141.0
El Dorado,2008,11.0,1815.0
El Dorado,2008-2010,288.0,113524.0
El Dorado,2009,0.0,1720.0
El Dorado,2009-2011,155.0,109545.0
El Dorado,2010,0.0,1620.0
El Dorado,2010-2012,108.0,105038.0
El Dorado,2011,0.0,1629.0
El Dorado,2011-2013,44.0,103103.0
El Dorado,2012,0.0,1513.0
El Dorado,2012-2014,49.0,102848.0
El Dorado,2013,0.0,1534.0
El Dorado,2013-2015,43.0,113814.0
El Dorado,2014,0.0,1619.0
El Dorado,2014-2016,102.0,115496.0
El Dorado,2015,0.0,1597.0
El Dorado,2015-2017,87.0,114295.0
El Dorado,2016,0.0,1602.0
El Dorado,2016-2018,100.0,116025.0
El Dorado,2017,0.0,1572.0
El Dorado,2017-2019,54.0,114409.0
El Dorado,2018,0.0,1670.0
El Dorado,2018-2020,171.0,112196.0
El Dorado,2019,0.0,1533.0
El Dorado,2019-2021,183.0,110406.0
El Dorado,2020,0.0,1478.0
El Dorado,2021,0.0,1596.0
Fresno,2007,106.0,17293.0
Fresno,2007-2009,5678.0,1095293.0
Fresno,2008,115.0,16765.0
Fresno,2008-2010,5960.0,1072365.0
Fresno,2009,95.0,16275.0
Fresno,2009-2011,6219.0,1061535.0
Fresno,2010,118.0,16281.0
Fresno,2010-2012,6227.0,1056914.0
Fresno,2011,126.0,16158.0
Fresno,2011-2013,6722.0,1048006.0
Fresno,2012,96.0,15955.0
Fresno,2012-2014,6422.0,1041294.0
Fresno,2013,144.0,15738.0
