YEAR,COUNTY,# of Deaths,# of Cases
2020,Mariposa,2,142
2020,Mendocino,56,1868
2020,Merced,138,4306
2020,Modoc,2,88
2020,Mono,2,78
2020,Monterey,528,9826
2020,Napa,146,3082
2020,Nevada,62,1910
2020,Orange,3714,70610
2020,Placer,692,16334
2020,Plumas,0,150
2020,Riverside,2740,56880
2020,Sacramento,2576,46520
2020,San Benito,20,374
2020,San Bernardino,2754,52318
2020,San Diego,3978,76278
2020,San Francisco,1474,24418
2020,San Joaquin,814,20208
2020,San Luis Obispo,292,6022
2020,San Mateo,898,14536
2020,Santa Barbara,612,9904
2020,Santa Clara,2020,43302
2020,Santa Cruz,192,4662
2020,Shasta,646,9244
2020,Siskiyou,26,748
2020,Solano,650,11028
2020,Sonoma,616,11064
2020,Stanislaus,1146,19946
2020,Tehama,36,988
2020,Trinity,4,44
2020,Tulare,568,11166
2020,Tuolumne,94,1596
2020,Ventura,804,19416
2020,Yolo,68,1656
2020,Yuba,186,4942
2021,Alameda,946,18047
2021,Amador,8,411
2021,Butte,269,5595
2021,Calaveras,6,161
2021,Colusa,6,78
2021,Contra Costa,705,12221
2021,Del Norte,21,312
2021,El Dorado,34,1036
2021,Fresno,777,13604
2021,Glenn,1,24
2021,Humboldt,102,1520
2021,Imperial,97,1373
2021,Inyo,4,100
2021,Kern,548,10231
2021,Kings,81,1304
2021,Lake,8,402
2021,Lassen,8,100
2021,Los Angeles,6911,124656
2021,Madera,27,444
2021,Marin,134,2872
2021,Mariposa,1,75
2021,Mendocino,24,792
2021,Merced,55,2023
2021,Modoc,2,28
2021,Mono,2,37
2021,Monterey,235,4739
2021,Napa,118,1872
2021,Nevada,30,949
2021,Orange,1946,35444
2021,Placer,347,8256
2021,Plumas,5,78
2021,Riverside,1382,28344
2021,Sacramento,1395,23991
2021,San Benito,13,215
2021,San Bernardino,1503,25926
2021,San Diego,1981,39328
2021,San Francisco,721,12883
2021,San Joaquin,432,10190
2021,San Luis Obispo,146,2857
2021,San Mateo,502,7870
2021,Santa Barbara,265,4827
2021,Santa Clara,1116,22897
2021,Santa Cruz,106,2497
2021,Shasta,322,4044
2021,Siskiyou,17,332
2021,Solano,303,5153
2021,Sonoma,286,5564
2021,Stanislaus,613,10167
2021,Tehama,22,534
2021,Trinity,2,21
2021,Tulare,318,5467
2021,Tuolumne,39,707
2021,Ventura,461,9544
2021,Yolo,30,902
2021,Yuba,118,2645
2022,Alameda,1103,19792
2022,Amador,14,491
2022,Butte,286,6056
2022,Calaveras,8,177
2022,Colusa,6,84
2022,Contra Costa,754,12571
2022,Del Norte,33,398
2022,El Dorado,52,1203
2022,Fresno,999,15702
2022,Glenn,1,46
2022,Humboldt,104,1832
2022,Imperial,107,1463
2022,Inyo,5,101
2022,Kern,649,11160
2022,Kings,67,1476
2022,Lake,14,479
2022,Lassen,15,135
2022,Los Angeles,8319,138388
2022,Madera,32,489
2022,Marin,113,2897
2022,Mariposa,1,44
2022,Mendocino,38,908
2022,Merced,88,2338
2022,Modoc,4,35
2022,Mono,1,33
2022,Monterey,236,5361
2022,Napa,109,2195
2022,Nevada,38,959
2022,Orange,2208,39934
2022,Placer,417,9186
2022,Plumas,4,44
2022,Riverside,1737,32476
2022,Sacramento,1588,26055
2022,San Benito,14,291
2022,San Bernardino,1864,29690
2022,San Diego,1916,36206
